Exon	IJC1	SJC1	IJC2	SJC2	IncFormLen	SkipFormLen
81799	226,252,206	99,99,93	251,232,237	247,213,209	168	82
83714	492,596,531	23,38,25	465,374,320	127,108,94	109	77
84621	1677,1932,1862	1007,1016,944	4330,3790,3897	845,799,828	172	86
84628	342,367,402	132,119,151	772,748,724	100,108,130	172	86
84799	93,101,101	119,146,129	50,50,55	228,200,190	56	86
85242	51,46,53	26,17,13	110,60,76	237,146,157	66	86
85243	37,25,21	1002,1007,887	353,240,242	348,343,326	136	56
85247	75,68,60	1002,1007,887	362,302,268	348,343,326	5	52
85700	607,543,538	833,723,829	253,197,218	66,55,46	112	86
85982	63,46,47	25,21,9	31,16,23	49,33,33	155	77
86151	234,200,222	171,108,141	653,556,642	163,160,137	144	76
86467	7121,7736,7062	2625,2751,2481	3246,2940,2991	7635,6672,7291	172	86
87358	64,54,64	680,880,725	1101,956,1010	553,489,576	154	86
87359	32,31,31	27,32,21	450,387,428	6,15,9	112	44
87360	33,31,31	16,15,14	450,384,425	14,11,17	154	86
87361	33,32,31	6,20,13	459,387,433	5,8,10	154	86
87754	602,627,525	89,71,60	981,760,815	22,12,9	165	79
87821	105,139,100	123,183,186	133,106,118	59,49,74	136	86
87856	131,154,165	269,347,329	15,23,22	176,222,221	172	86
88018	28,21,22	11,8,1	7,2,5	14,20,11	171	85
88030	48,76,49	376,412,366	250,186,213	317,256,250	70	86
88031	25,51,30	349,393,365	171,115,130	316,226,272	70	86
88032	27,42,28	40,46,30	108,92,104	14,13,12	70	86
88033	4,17,9	74,95,73	29,21,21	37,43,29	70	86
88142	2,2,3	6,1,1	166,146,157	2,4,6	52	86
88533	27,43,31	33,27,54	2,7,3	75,58,55	58	86
89105	72,56,74	37,41,27	24,12,18	67,52,51	134	60
90281	17,17,12	3,12,6	1,1,0	40,25,19	119	79
90282	48,42,35	4,0,0	5,2,3	3,2,4	119	79
90286	46,40,60	3,12,6	13,6,12	40,25,19	165	79
90799	290,327,280	50,22,28	272,220,275	115,89,101	75	79
91167	386,388,385	1,0,2	512,449,512	47,42,39	146	60
91853	48,50,60	55,83,53	86,60,62	29,28,18	172	86
